time,seconds_elapsed,z,y,x
1716404130512940000,137.85793994140624,-1.515960693359375,1.3324432373046875,-1.282928466796875
1716404130523072000,137.86807202148438,-1.6938629150390625,1.4336395263671875,-1.4011688232421875
1716404130533203700,137.87820361328124,-1.72369384765625,1.2546844482421875,-1.3798675537109375
1716404130543335400,137.88833544921874,-1.664031982421875,1.019256591796875,-1.2871856689453125
1716404130553467400,137.89846728515624,-1.5681610107421875,0.8541412353515625,-1.1881103515625
1716404130563599000,137.90859912109374,-1.4871978759765625,0.632568359375,-1.1273956298828125
1716404130573731000,137.91873095703124,-1.4797515869140625,0.3609161376953125,-1.0815887451171875
1716404130583862800,137.92886279296874,-1.561767578125,0.2000732421875,-1.0443115234375
1716404130593994800,137.93899487304688,-1.677886962890625,0.185150146484375,-0.998504638671875
1716404130604126500,137.94912646484374,-1.769500732421875,0.1105804443359375,-0.99530029296875
1716404130614258400,137.95925854492188,-1.825958251953125,0.00299072265625,-1.01873779296875
1716404130624390100,137.96939013671874,-1.849395751953125,-0.040679931640625,-0.9782562255859375
1716404130634522000,137.97952221679688,-1.8174285888671875,-0.0843658447265625,-0.8440399169921875
1716404130644653800,137.98965380859374,-1.7386016845703125,-0.2164459228515625,-0.62139892578125
1716404130654785800,137.99978588867188,-1.6469879150390625,-0.395416259765625,-0.4434967041015625
1716404130664917500,138.00991748046874,-1.586273193359375,-0.5062103271484375,-0.493560791015625
1716404130675049500,138.02004956054688,-1.5479278564453125,-0.520050048828125,-0.72259521484375
1716404130685181200,138.03018115234374,-1.4722900390625,-0.543487548828125,-0.97613525390625
1716404130695313200,138.04031323242188,-1.3050384521484375,-0.6382904052734375,-1.1742706298828125
1716404130705444900,138.05044482421874,-1.1356658935546875,-0.7799835205078125,-1.24884033203125
1716404130715576800,138.06057690429688,-1.0536346435546875,-0.874786376953125,-1.19024658203125
1716404130725708500,138.07070849609374,-1.048309326171875,-0.830047607421875,-1.05389404296875
1716404130735840500,138.08084057617188,-1.0887908935546875,-0.679840087890625,-0.931396484375
1716404130745972200,138.09097216796874,-1.1686859130859375,-0.5562744140625,-0.849365234375
1716404130756104200,138.10110424804688,-1.2517852783203125,-0.51153564453125,-0.79290771484375
1716404130766236000,138.11123583984374,-1.3156890869140625,-0.557342529296875,-0.7609405517578125
1716404130776367900,138.12136791992188,-1.3423309326171875,-0.6660003662109375,-0.7534942626953125
1716404130786499600,138.13149951171874,-1.32208251953125,-0.827911376953125,-0.7652130126953125
1716404130796631600,138.14163159179688,-1.2592315673828125,-1.04522705078125,-0.79290771484375
1716404130806763300,138.15176318359374,-1.184661865234375,-1.284912109375,-0.814208984375
1716404130816895200,138.16189526367188,-1.1154327392578125,-1.5182037353515625,-0.814208984375
1716404130827027000,138.17202685546874,-1.0557708740234375,-1.730194091796875,-0.7960968017578125
1716404130837159000,138.18215893554688,-1.0131683349609375,-1.899566650390625,-0.74603271484375
1716404130847290600,138.19229052734374,-0.9854583740234375,-1.983734130859375,-0.6629486083984375
1716404130857422600,138.20242260742188,-0.9630889892578125,-2.0007781982421875,-0.5564117431640625
1716404130867554300,138.21255419921874,-0.9290008544921875,-1.934722900390625,-0.4424285888671875
1716404130877686000,138.22268603515624,-0.8714752197265625,-1.78985595703125,-0.3273773193359375
1716404130887818000,138.23281787109374,-0.7798614501953125,-1.5299224853515625,-0.221923828125
1716404130897949700,138.24294970703124,-0.64031982421875,-1.126190185546875,-0.139892578125
1716404130908081700,138.25308154296874,-0.4783935546875,-0.669189453125,-0.0621337890625
1716404130918213400,138.26321337890624,-0.340972900390625,-0.212188720703125,-0.0248565673828125
1716404130928345300,138.27334545898438,-0.2696075439453125,0.1776885986328125,-0.0216522216796875
1716404130938477000,138.28347705078124,-0.272796630859375,0.4514617919921875,-0.002471923828125
1716404130948609000,138.29360913085938,-0.3367156982421875,0.6464080810546875,0.0561065673828125
1716404130958740700,138.30374072265624,-0.4421844482421875,0.753997802734375,0.1477203369140625
1716404130968872700,138.31387280273438,-0.5188751220703125,0.7188568115234375,0.270233154296875
1716404130979004400,138.32400439453124,-0.5305938720703125,0.5345611572265625,0.4214935302734375
1716404130989136400,138.33413647460938,-0.4847869873046875,0.24481201171875,0.5887451171875
1716404130999268000,138.34426806640624,-0.40277099609375,-0.077972412109375,0.7410736083984375
1716404131009400000,138.35440014648438,-0.310089111328125,-0.3112640380859375,0.8561248779296875
1716404131019531800,138.36453173828124,-0.2174072265625,-0.37518310546875,0.928558349609375
1716404131029663700,138.37466381835938,-0.126861572265625,-0.245208740234375,0.954132080078125
1716404131039795500,138.38479541015624,-0.033111572265625,-0.0012664794921875,0.94134521484375
1716404131049927400,138.39492749023438,0.06488037109375,0.278900146484375,0.9040679931640625
1716404131060059100,138.40505908203124,0.18206787109375,0.5345611572265625,0.85186767578125
1716404131070191000,138.41519116210938,0.3450469970703125,0.8061981201171875,0.8145751953125
1716404131080322800,138.42532275390624,0.557037353515625,1.084228515625,0.76983642578125
1716404131090454800,138.43545483398438,0.7913970947265625,1.233367919921875,0.7069854736328125
